,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
15,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.0,1.0,No
16,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
17,Male,0,No,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.0,1.0,No
18,Female,0,Yes,Yes,0.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),0.0,0.0,Yes
19,Female,0,No,No,0.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,No
20,Male,1,No,No,0.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.0,0.0,Yes
21,Male,0,Yes,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.0,0.0,No
22,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,Yes
23,Female,0,Yes,No,1.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),0.0,1.0,No
24,Male,0,Yes,Yes,1.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0.0,1.0,No
25,Female,0,No,No,0.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.0,0.0,No
26,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
27,Male,0,Yes,Yes,0.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.0,0.0,Yes
28,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.0,1.0,No
29,Female,0,No,Yes,0.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.0,0.0,Yes
30,Female,1,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.0,1.0,No
31,Male,1,Yes,No,0.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
32,Female,0,Yes,Yes,0.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,1.0,0.0,No
33,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.0,0.0,No
34,Male,1,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.0,0.0,No
35,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1.0,1.0,No
36,Male,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
37,Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1.0,1.0,No
38,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
39,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
40,Male,0,Yes,Yes,0.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,0.0,0.0,No
41,Female,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),1.0,1.0,No
42,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
43,Female,0,No,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),1.0,1.0,No
44,Female,0,Yes,No,0.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
45,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,No
46,Male,0,No,No,0.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
47,Female,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
48,Male,0,No,No,1.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.0,1.0,No
49,Female,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.0,1.0,No
50,Female,1,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,No
51,Female,0,No,No,0.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0,0.0,Yes
52,Female,1,Yes,No,0.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
53,Female,1,Yes,No,0.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1.0,0.0,Yes
54,Female,1,Yes,Yes,1.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),1.0,1.0,No
55,Male,1,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
56,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1.0,1.0,No
57,Male,1,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.0,1.0,No
58,Female,0,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.0,0.0,No
59,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.0,1.0,No
60,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,No
61,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1.0,1.0,No
62,Male,0,Yes,No,1.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),0.0,1.0,No
63,Female,0,Yes,Yes,0.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.0,0.0,No
64,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1.0,0.0,Yes
65,Female,0,No,No,0.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,No
66,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,1.0,1.0,No
67,Female,0,No,No,0.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,1.0,1.0,No
68,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
69,Male,0,No,No,0.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,1.0,0.0,No
70,Male,0,No,No,0.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
71,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0.0,0.0,No
72,Male,1,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
73,Male,0,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.0,0.0,No
74,Female,0,No,Yes,0.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.0,0.0,No
75,Female,1,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,1.0,1.0,No
76,Female,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),0.0,1.0,No
77,Female,0,Yes,Yes,0.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
78,Male,1,No,No,0.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,No
79,Female,0,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0.0,0.0,No
80,Female,0,No,Yes,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
81,Female,0,Yes,Yes,0.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.0,0.0,No
82,Female,0,Yes,No,0.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
83,Female,0,No,No,1.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,1.0,No
84,Female,0,Yes,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.0,0.0,No
85,Male,0,No,No,0.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
86,Female,0,Yes,No,1.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0.0,0.0,No
87,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
88,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.0,0.0,No
89,Male,0,Yes,No,0.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,0.0,0.0,No
90,Male,0,Yes,Yes,0.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),1.0,1.0,No
91,Male,1,No,No,0.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,1.0,0.0,No
92,Male,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,1.0,1.0,No
93,Female,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0,1.0,No
94,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
95,Female,0,No,No,0.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
96,Male,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),1.0,1.0,No
97,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,Yes
98,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
99,Female,1,Yes,No,0.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
100,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
101,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.0,0.0,No
102,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),1.0,1.0,No
103,Female,1,Yes,No,1.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0.0,1.0,No
104,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,Yes
105,Male,0,No,No,0.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
106,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1.0,1.0,No
107,Female,0,No,No,0.0,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,0.0,0.0,No
108,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,1.0,1.0,No
109,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.0,0.0,No
110,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
111,Female,0,No,No,1.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),0.0,1.0,No
112,Female,0,No,No,1.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,No
113,Female,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
114,Female,0,Yes,Yes,1.0,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,0.0,1.0,No
115,Male,0,Yes,Yes,0.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,1.0,0.0,No
116,Female,0,No,No,1.0,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),0.0,0.0,No
117,Female,0,Yes,Yes,0.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
118,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
119,Male,0,Yes,Yes,0.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
120,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.0,1.0,No
121,Female,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
122,Male,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
123,Female,0,Yes,Yes,0.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
124,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
125,Male,0,No,No,1.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,1.0,1.0,No
126,Female,1,No,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
127,Male,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.0,0.0,No
128,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
129,Male,1,No,No,1.0,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.0,1.0,No
130,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,No
131,Female,0,Yes,Yes,0.0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.0,0.0,Yes
132,Male,0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.0,1.0,No
133,Male,0,No,No,0.0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.0,0.0,Yes
134,Male,0,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.0,0.0,Yes
135,Female,0,No,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.0,0.0,No
136,Female,0,No,No,0.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,No
137,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
138,Male,0,No,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.0,0.0,No
139,Female,1,Yes,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1.0,0.0,Yes
140,Female,1,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.0,1.0,No
141,Female,0,No,No,0.0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,1.0,0.0,Yes
142,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
143,Male,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),1.0,1.0,No
144,Male,1,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
145,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),1.0,1.0,No
146,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
147,Male,0,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,Yes
148,Male,0,No,Yes,0.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),0.0,0.0,No
149,Male,0,Yes,Yes,0.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,1.0,0.0,No
150,Female,0,Yes,Yes,0.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,No
151,Male,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,1.0,0.0,Yes
152,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.0,1.0,No
153,Male,0,Yes,Yes,1.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,1.0,1.0,No
154,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
155,Female,0,Yes,Yes,0.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,No
156,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,No
157,Male,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
158,Male,0,Yes,Yes,0.0,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,0.0,0.0,No
159,Male,0,No,No,0.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
160,Female,0,No,Yes,0.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,No
161,Female,0,Yes,No,0.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,1.0,0.0,Yes
162,Female,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
163,Male,0,No,No,1.0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
164,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
165,Male,0,Yes,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
166,Female,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
167,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
168,Male,1,Yes,No,1.0,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.0,1.0,Yes
169,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.0,0.0,No
170,Male,0,Yes,No,1.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),1.0,1.0,No
171,Female,0,Yes,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
172,Male,0,Yes,No,0.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,1.0,0.0,No
173,Female,0,Yes,No,1.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1.0,1.0,Yes
174,Female,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.0,0.0,No
175,Female,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.0,0.0,No
176,Female,1,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1.0,0.0,Yes
177,Female,1,No,No,0.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1.0,0.0,Yes
178,Female,0,Yes,Yes,0.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,No
179,Male,0,Yes,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0.0,0.0,No
180,Female,0,No,No,0.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.0,0.0,Yes
181,Female,0,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
