customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
16,Female,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,0,1,No
17,Male,0,No,Yes,1,Yes,Yes,Fiberoptic,Yes,No,Yes,No,Yes,Yes,Twoyear,No,Banktransfer(automatic),1,1,No
18,Female,0,Yes,Yes,0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Creditcard(automatic),1,1,Yes
19,Female,0,No,No,1,Yes,No,Fiberoptic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
20,Male,1,No,No,0,No,Nophoneservice,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electroniccheck,1,0,Yes
21,Male,0,Yes,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Banktransfer(automatic),0,0,No
22,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,Yes
23,Female,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Twoyear,Yes,Creditcard(automatic),1,1,No
24,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Creditcard(automatic),1,1,No
25,Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Banktransfer(automatic),1,1,No
26,Male,0,Yes,Yes,1,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
27,Male,0,Yes,Yes,0,No,Nophoneservice,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electroniccheck,1,0,Yes
28,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),1,1,No
29,Female,0,No,Yes,0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailedcheck,1,1,Yes
30,Female,1,Yes,No,1,Yes,Yes,Fiberoptic,Yes,Yes,Yes,Yes,No,No,Twoyear,Yes,Creditcard(automatic),1,1,No
31,Male,1,Yes,No,0,Yes,No,Fiberoptic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Creditcard(automatic),1,0,No
32,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Oneyear,No,Mailedcheck,1,1,No
33,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Banktransfer(automatic),0,0,No
34,Male,1,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Banktransfer(automatic),1,0,No
35,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,Yes,No,Yes,Yes,No,Twoyear,No,Banktransfer(automatic),1,1,No
36,Male,0,No,No,0,Yes,No,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,0,Yes
37,Female,0,No,No,1,Yes,No,Fiberoptic,No,No,Yes,No,No,No,Month-to-month,Yes,Creditcard(automatic),1,1,No
38,Male,0,No,No,1,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
39,Female,0,No,No,0,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Banktransfer(automatic),1,1,Yes
40,Male,0,Yes,Yes,0,Yes,No,DSL,No,Yes,No,No,No,No,Oneyear,No,Mailedcheck,1,1,No
41,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Twoyear,Yes,Creditcard(automatic),1,1,No
42,Female,0,Yes,Yes,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,0,1,No
43,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Twoyear,Yes,Creditcard(automatic),1,1,No
44,Female,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electroniccheck,1,1,No
45,Female,0,No,No,1,Yes,Yes,Fiberoptic,No,No,No,No,No,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
46,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailedcheck,1,0,No
47,Female,0,No,No,0,Yes,No,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,Electroniccheck,1,0,Yes
48,Male,0,No,No,1,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),1,1,No
49,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Twoyear,Yes,Creditcard(automatic),1,1,No
50,Female,1,No,No,1,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electroniccheck,1,1,No
51,Female,0,No,No,0,Yes,No,Fiberoptic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Creditcard(automatic),1,1,Yes
52,Female,1,Yes,No,1,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Creditcard(automatic),1,1,No
53,Female,1,Yes,No,0,Yes,Yes,Fiberoptic,No,Yes,No,No,No,No,Month-to-month,Yes,Creditcard(automatic),1,1,Yes
54,Female,1,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Oneyear,Yes,Creditcard(automatic),1,1,No
55,Male,1,No,No,1,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
56,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,No,No,No,Yes,Yes,Oneyear,Yes,Creditcard(automatic),1,1,No
57,Male,1,Yes,Yes,1,Yes,Yes,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Oneyear,Yes,Electroniccheck,1,1,No
58,Female,0,Yes,Yes,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Creditcard(automatic),0,1,No
59,Female,0,No,No,1,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),1,1,No
60,Female,0,Yes,No,1,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
61,Male,0,No,No,1,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Banktransfer(automatic),1,1,No
62,Male,0,Yes,No,1,No,Nophoneservice,DSL,Yes,Yes,Yes,No,No,No,Twoyear,No,Banktransfer(automatic),1,1,No
63,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,Yes,No,No,Oneyear,Yes,Creditcard(automatic),1,1,No
64,Female,0,No,No,0,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,No,Electroniccheck,1,1,Yes
65,Female,0,No,No,0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,0,No
66,Male,0,Yes,No,1,Yes,Yes,Fiberoptic,No,Yes,No,No,No,No,Oneyear,Yes,Electroniccheck,1,1,No
67,Female,0,No,No,1,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Mailedcheck,1,1,No
68,Female,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),0,1,No
69,Male,0,No,No,0,Yes,No,Fiberoptic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailedcheck,1,1,No
70,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailedcheck,1,0,No
71,Female,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,Electroniccheck,0,1,No
72,Male,1,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),1,1,No
73,Male,0,Yes,Yes,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Banktransfer(automatic),0,1,No
74,Female,0,No,Yes,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Banktransfer(automatic),1,0,No
75,Female,1,No,No,1,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,No,Electroniccheck,1,1,No
76,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Oneyear,No,Creditcard(automatic),1,1,No
77,Female,0,Yes,Yes,0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailedcheck,1,1,No
78,Male,1,No,No,1,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
79,Female,0,Yes,Yes,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,Creditcard(automatic),0,1,No
80,Female,0,No,Yes,0,Yes,No,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,Electroniccheck,1,0,Yes
81,Female,0,Yes,Yes,0,No,Nophoneservice,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electroniccheck,1,1,No
82,Female,0,Yes,No,0,Yes,No,Fiberoptic,No,No,Yes,No,No,No,Month-to-month,Yes,Banktransfer(automatic),1,1,Yes
83,Female,0,No,No,1,Yes,No,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Banktransfer(automatic),1,1,No
84,Female,0,Yes,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Banktransfer(automatic),0,1,No
85,Male,0,No,No,0,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Creditcard(automatic),1,1,No
86,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,Yes,No,Oneyear,Yes,Banktransfer(automatic),1,1,No
87,Female,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),0,1,No
88,Female,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Mailedcheck,0,1,No
89,Male,0,Yes,No,1,No,Nophoneservice,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailedcheck,1,1,No
90,Male,0,Yes,Yes,1,Yes,No,Fiberoptic,No,Yes,Yes,No,No,No,Month-to-month,No,Banktransfer(automatic),1,1,No
91,Male,1,No,No,0,Yes,No,Fiberoptic,No,No,No,Yes,No,No,Month-to-month,No,Electroniccheck,1,0,No
92,Male,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Twoyear,Yes,Mailedcheck,1,1,No
93,Female,0,No,No,1,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Creditcard(automatic),1,1,No
94,Male,0,No,No,1,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),1,1,No
95,Female,0,No,No,0,Yes,Yes,Fiberoptic,Yes,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,1,Yes
96,Male,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Oneyear,Yes,Creditcard(automatic),1,1,No
97,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,Yes
98,Male,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),0,1,No
99,Female,1,Yes,No,1,Yes,No,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
100,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,No
101,Female,0,Yes,Yes,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Electroniccheck,0,0,No
102,Male,0,No,No,1,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,No,Oneyear,No,Banktransfer(automatic),1,1,No
103,Female,1,Yes,No,1,No,Nophoneservice,DSL,No,Yes,Yes,No,Yes,No,Oneyear,No,Banktransfer(automatic),1,1,No
104,Male,0,Yes,No,1,Yes,Yes,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),1,1,Yes
105,Male,0,No,No,0,No,Nophoneservice,DSL,No,No,No,No,No,No,Month-to-month,No,Mailedcheck,0,0,No
106,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,Yes,No,No,Yes,Yes,Oneyear,Yes,Electroniccheck,1,1,No
107,Female,0,No,No,1,No,Nophoneservice,DSL,Yes,No,No,No,No,No,Oneyear,No,Mailedcheck,1,1,No
108,Male,0,No,No,1,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Oneyear,No,Mailedcheck,1,1,No
109,Male,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Creditcard(automatic),0,1,No
110,Male,0,Yes,No,1,Yes,Yes,Fiberoptic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electroniccheck,1,1,Yes
111,Female,0,No,No,1,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,Creditcard(automatic),1,1,No
112,Female,0,No,No,1,Yes,No,Fiberoptic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electroniccheck,1,1,No
113,Female,1,Yes,No,1,Yes,Yes,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,1,Yes
114,Female,0,Yes,Yes,1,No,Nophoneservice,DSL,No,Yes,No,Yes,Yes,Yes,Twoyear,Yes,Electroniccheck,1,1,No
115,Male,0,Yes,Yes,0,Yes,No,Fiberoptic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electroniccheck,1,0,No
116,Female,0,No,No,1,No,Nophoneservice,DSL,Yes,No,No,No,No,No,Twoyear,No,Banktransfer(automatic),1,1,No
117,Female,0,Yes,Yes,0,Yes,Yes,Fiberoptic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
118,Female,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Mailedcheck,0,1,No
119,Male,0,Yes,Yes,1,Yes,Yes,Fiberoptic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Creditcard(automatic),1,1,No
120,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,Yes,Creditcard(automatic),1,1,No
121,Female,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,No
122,Male,0,No,No,0,Yes,Yes,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,0,Yes
123,Female,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailedcheck,1,1,No
124,Female,0,Yes,Yes,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,No
125,Male,0,No,No,1,Yes,No,Fiberoptic,Yes,No,No,Yes,Yes,No,Twoyear,Yes,Electroniccheck,1,1,No
126,Female,1,No,No,1,Yes,Yes,Fiberoptic,No,No,Yes,No,No,No,Month-to-month,Yes,Electroniccheck,1,1,Yes
127,Male,0,Yes,No,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Banktransfer(automatic),0,1,No
128,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,No
129,Male,1,No,No,1,No,Nophoneservice,DSL,Yes,Yes,No,No,Yes,Yes,Oneyear,Yes,Electroniccheck,1,1,No
130,Female,0,No,No,0,Yes,Yes,Fiberoptic,No,No,No,No,No,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
131,Female,0,Yes,Yes,1,No,Nophoneservice,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Creditcard(automatic),1,1,Yes
132,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Twoyear,No,Banktransfer(automatic),1,1,No
133,Male,0,No,No,0,No,Nophoneservice,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electroniccheck,1,0,Yes
134,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electroniccheck,1,0,Yes
135,Female,0,No,No,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Creditcard(automatic),0,1,No
136,Female,0,No,No,1,Yes,No,Fiberoptic,Yes,No,No,No,No,No,Month-to-month,Yes,Banktransfer(automatic),1,1,No
137,Female,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Mailedcheck,0,1,No
138,Male,0,No,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Mailedcheck,0,1,No
139,Female,1,Yes,No,0,Yes,No,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Mailedcheck,1,0,Yes
140,Female,1,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),1,1,No
141,Female,0,No,No,0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electroniccheck,1,1,Yes
142,Female,0,Yes,No,1,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),1,1,No
143,Male,0,No,No,1,Yes,Yes,Fiberoptic,Yes,Yes,No,No,No,No,Oneyear,Yes,Creditcard(automatic),1,1,No
144,Male,1,Yes,No,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),0,1,No
145,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,Yes,No,Yes,Yes,No,Twoyear,Yes,Creditcard(automatic),1,1,No
146,Male,0,No,No,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,0,0,No
147,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,0,Yes
148,Male,0,No,Yes,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Oneyear,No,Creditcard(automatic),1,1,No
149,Male,0,Yes,Yes,0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailedcheck,1,1,No
150,Female,0,Yes,Yes,0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,1,No
151,Male,0,No,No,0,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailedcheck,1,1,Yes
152,Female,0,Yes,Yes,1,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,Yes,Creditcard(automatic),1,1,No
153,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Electroniccheck,1,1,No
154,Female,0,Yes,Yes,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Mailedcheck,0,0,No
155,Female,0,Yes,Yes,0,Yes,No,Fiberoptic,No,No,No,No,No,Yes,Month-to-month,Yes,Banktransfer(automatic),1,1,No
156,Female,0,No,No,1,Yes,Yes,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,Banktransfer(automatic),1,1,No
157,Male,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,0,1,No
158,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Twoyear,No,Mailedcheck,1,1,No
159,Male,0,No,No,0,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),0,0,No
160,Female,0,No,Yes,0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,1,No
161,Female,0,Yes,No,1,Yes,Yes,Fiberoptic,Yes,No,No,No,No,No,Month-to-month,No,Electroniccheck,1,1,Yes
162,Female,0,No,No,0,Yes,No,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Electroniccheck,1,0,No
163,Male,0,No,No,1,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Twoyear,Yes,Banktransfer(automatic),1,1,No
164,Female,0,Yes,Yes,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,0,0,No
165,Male,0,Yes,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Mailedcheck,0,1,No
166,Female,0,No,No,0,Yes,No,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Banktransfer(automatic),1,0,Yes
167,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),1,1,No
168,Male,1,Yes,No,1,No,Nophoneservice,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electroniccheck,1,1,Yes
169,Female,0,Yes,Yes,0,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Electroniccheck,0,0,No
170,Male,0,Yes,No,1,Yes,No,Fiberoptic,Yes,No,Yes,Yes,No,No,Oneyear,Yes,Banktransfer(automatic),1,1,No
171,Female,0,Yes,No,0,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electroniccheck,1,0,Yes
172,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Mailedcheck,1,1,No
173,Female,0,Yes,No,1,Yes,No,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,Yes,Banktransfer(automatic),1,1,Yes
174,Female,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Banktransfer(automatic),0,1,No
175,Female,0,Yes,No,1,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,Electroniccheck,0,1,No
176,Female,1,No,No,0,Yes,Yes,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,Mailedcheck,1,1,Yes
177,Female,1,No,No,0,Yes,No,Fiberoptic,Yes,No,No,No,No,No,Month-to-month,No,Banktransfer(automatic),1,1,Yes
178,Female,0,Yes,Yes,0,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Banktransfer(automatic),1,1,No
